"event","experiment time","system time","system time text"
"START",0.000000000E0,1718215683.225,"2024-06-12 20:08:03.225 UTC+02:00"
"PAUSE",1.375009765E1,1718215696.975,"2024-06-12 20:08:16.975 UTC+02:00"
"START",1.375009765E1,1718215698.504,"2024-06-12 20:08:18.504 UTC+02:00"
"PAUSE",1.622830135E1,1718215700.982,"2024-06-12 20:08:20.982 UTC+02:00"
"START",1.622830135E1,1718215709.865,"2024-06-12 20:08:29.865 UTC+02:00"
"PAUSE",1.755691525E1,1718215711.194,"2024-06-12 20:08:31.194 UTC+02:00"
"START",1.755691525E1,1718215715.216,"2024-06-12 20:08:35.216 UTC+02:00"
"PAUSE",4.781323872E2,1718216175.791,"2024-06-12 20:16:15.791 UTC+02:00"
"START",4.781323872E2,1718216176.659,"2024-06-12 20:16:16.659 UTC+02:00"
"PAUSE",4.962942235E2,1718216194.821,"2024-06-12 20:16:34.821 UTC+02:00"
